user,game,genre,hundreds,thousands,millions,followers,following
alpgregor,'Knight Online',fantasy mmorpg,False,False,False,1748,149
simsiloo,'Paladins',paladin,False,False,False,3256,244
cyberboroda,"""Tom Clancy's Rainbow Six: Siege""",tactical shooter,False,False,False,3325,32
lulifreitas,'',,False,False,False,877,94
rambo,'Call of Duty: Black Ops II',first-person shooter,False,False,False,60137,17
flack_twitch,'',,False,False,False,17,46
jneutron287,'',,False,False,False,117,333
smxhots,'Heroes of the Storm',multiplayer,False,False,False,8230,88
kate3e,'',,False,False,False,750,140
kiore,'',,False,False,False,14,45
synkqz,'',,False,False,False,41,109
mekazeth,'Overwatch',characters of overwatch,False,False,False,500,308
coelho,'',,False,False,False,138282,48
p0lleg,'',,False,False,False,589,261
qq945,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,762,30
stivitybobo,'Banjo-Kazooie',platform,False,False,False,34717,232
kessuadetv,'H1Z1: King of the Kill',battle royale,False,False,False,1598,921
luminagaming123,'',,False,False,False,64,87
yemeksepeticom,'',,False,False,False,1188,136
tapioca_senpai,'',,False,False,False,99,391
primztv,'H1Z1: King of the Kill',battle royale,False,False,False,3997,642
vampy_klr,'IRL',,False,False,False,242,105
antthemanyt,'',,False,False,False,582,22
nogpyra,'Bloodborne',action role-playing,False,False,False,8612,133
llarissal,'Call of Duty: Black Ops III',first-person shooter,False,False,False,52615,1992
just_monika_247,'',,False,False,False,671,1
jdantastic,'Hearthstone: Heroes of Warcraft',collectible,False,False,False,15867,22
michi,'Call of Duty: Ghosts',first-person shooter,False,False,False,87304,162
jschritte,'Heroes of the Storm',multiplayer,False,False,False,11684,127
joe_the_burly_gamer,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,4193,183
mediitv,'League of Legends',multiplayer  battle arena,False,False,False,159,83
saddota2tv,'',,False,False,False,10650,7
stickpagetv,'',,False,False,False,409,7
kostaskarapl,'',,False,False,False,3,40
lady723,'',,False,False,False,43,3
noserino,'Overwatch',characters of overwatch,False,False,False,11297,298
jigglyy_,'',,False,False,False,297,71
emeraldm1,'',,False,False,False,41,30
abeni,'',,False,False,False,150,369
ar12gaming,'',racing,False,False,False,149452,10
innocentdevilgengetsu,'Geometry Dash',sports,False,False,False,3438,56
nianianianiokk,'',,False,False,False,94,243
froskur1nn,'',,False,False,False,1052,6
nginm3,'',,False,False,False,11506,2
alarashade,'Diablo II: Lord of Destruction',action role-playing,False,False,False,17310,499
fgfgaming_,'Fortnite',survival,False,False,False,68,8
andyplzgofun,'',,False,False,False,1280,131
m4gzy,'Fortnite',survival,False,False,False,3004,135
some_v,"""Tom Clancy's Rainbow Six: Siege""",tactical shooter,False,False,False,14,5
thenasaman,'Doctor Who: The Eternity Clock',space flight,False,False,False,1560,63
lylo,'',,False,False,False,119135,0
vashzaron,'Valkyria Chronicles 4',,False,False,False,944,57
ayosai,'',,False,False,False,147,38
aakajaden,'',,False,False,False,10,77
garrison0021,'',,False,False,False,5,1
gccxstream,'Retro Game Challenge',,False,False,False,5333,12
shadinolol,'',,False,False,False,5813,43
edenlxrd,'',,False,False,False,3,199
rapt0rjesusgaming,'',,False,False,False,25,12
putz12,'Splatoon',third-person shooter,False,False,False,4249,328
naguura,'World of Warcraft',online,False,False,False,133969,217
futirinhas,'',,False,False,False,4947,21
spammals,'',,False,False,False,356,19
grandpapenguin,'Grand Theft Auto V',adventure,False,False,False,545,107
t4ngolive,'',,False,False,False,653,163
ralfingertv,'ArmA III',tactical shooter,False,False,False,34462,283
mrwulfairen,'',,False,False,False,21,9
zarakataca,'',,False,False,False,322,59
badbunny,'IRL',adventure,False,False,False,70246,296
shiftiemover,'',,False,False,False,1304,43
taisontv,'Battlefield 1',first-person shooter,False,False,False,33179,22
devinbooth,'iRacing.com',,False,False,False,644,673
norse_gaming_aus,'',,False,False,False,1466,46
achterklap,'Fortnite',survival,False,False,False,13310,78
majpaj,'Counter-Strike: Global Offensive',first-person shooter,False,False,False,24153,223
naturaldotcom,'',,False,False,False,536,139
kagaminium,'7 Days to Die',battle royale,False,False,False,16055,28
orionva,'Talk Shows & Podcasts',,False,False,False,788,163
silenced_knight,'Dark Souls II: Scholar of the First Sin',action role-playing,False,False,False,3709,298
yourcue,'',,False,False,False,6043,13
gmcanty,'',,False,False,False,2928,151
theboopaloop,"""PLAYERUNKNOWN'S BATTLEGROUNDS""",battle royale,False,False,False,174,117
crashlee,'Call of Duty: Black Ops III',first-person shooter,False,False,False,38927,333
ifantomen,'Trove',trove,False,False,False,6150,74
megasnoop,'Toontown Online',survival,False,False,False,20618,90
mr_rezerection,'',,False,False,False,4,5
ignaciostaffr6,'',,False,False,False,28,29
rodrigopaladini,'',,False,False,False,341,115
sweetlemydeetle,'Halo 5: Guardians',first-person shooter,False,False,False,334,309
raquel_gamer,'',,False,False,False,2084,68
kiarastream,'League of Legends',multiplayer  battle arena,False,False,False,47830,66
incarnated,'World of Warcraft',massively multiplayer  role-playing,False,False,False,4369,79
davidkryschuk,'',,False,False,False,468,13
markohdfifa,'',,False,False,False,864,23
honeybeaver,'',,False,False,False,419,66
moushn,'Battalion 1944',first-person shooter,False,False,False,1935,61
dolphinbrick,'Rivals of Aether',fighting,False,False,False,2014,90
ymurray,'',,False,False,False,37,33
nachita_ilustraciones,'',,False,False,False,57,30
allakazzaror,'Dark Souls',action role-playing,False,False,False,24031,53
revival,'IRL',,False,False,False,6185,20
dwchief,'',,False,False,False,370,69
hatopopcandy,'',,False,False,False,9322,6
zalendar1,'',,False,False,False,184,103
